"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Chilgok-gun","Type of occupancy[households]","households","46243","46899","47094","47160","46237","46786","47930",
"Chilgok-gun","Institutional households[households]","households","70","57","65","67","67","76","67",
"Chilgok-gun","Foreigner household[households]","households","1080","1154","1158","1164","1171","1091","1184",
"Chilgok-gun","Housing units-Total[Housing]","Housing","39724","40970","41260","42113","42920","44000","44017",
"Chilgok-gun","Detached dwelling[Housing]","Housing","14236","14392","14266","14294","14347","14381","14383",
"Chilgok-gun","Apartment[Housing]","Housing","21688","22669","22901","23677","24405","25414","25412",
"Chilgok-gun","Row house[Housing]","Housing","452","480","603","619","619","625","627",
"Chilgok-gun","Apartment unit ina private house[Housing]","Housing","2675","2760","2800","2827","2845","2849","2849",
"Chilgok-gun","House within commercial building[Housing]","Housing","673","669","690","696","704","731","746",
"Chilgok-gun","Living quaters other than housing unit[Housing]","Housing","1381","1654","1694","1666","1735","1745","1773",
"Yecheon-gun","Total population[Person]","Person","42702","44212","46321","51082","53020","53718","54267",
"Yecheon-gun","Male[Person]","Person","20782","21586","22674","25000","25971","26306","26493",
"Yecheon-gun","Female[Person]","Person","21920","22626","23647","26082","27049","27412","27774",
"Yecheon-gun","Korean - total[Person]","Person","42181","43658","45728","50409","52264","52939","53546",
"Yecheon-gun","Korean - male[Person]","Person","20579","21357","22423","24730","25659","25994","26211",
"Yecheon-gun","Korean - Female[Person]","Person","21602","22301","23305","25679","26605","26945","27335",
"Yecheon-gun","Foreigner-Total[Person]","Person","521","554","593","673","756","779","721",
"Yecheon-gun","Foreigner-Male[Person]","Person","203","229","251","270","312","312","282",
"Yecheon-gun","Foreigner-Female[Person]","Person","318","325","342","403","444","467","439",
"Yecheon-gun","Household-Total[households]","households","18970","19605","20573","22502","23543","24213","24860",
"Yecheon-gun","Type of occupancy[households]","households","18803","19459","20413","22350","23382","24041","24682",
"Yecheon-gun","Institutional households[households]","households","14","13","12","14","17","19","21",
"Yecheon-gun","Foreigner household[households]","households","153","133","148","138","144","153","157",
"Yecheon-gun","Housing units-Total[Housing]","Housing","20146","21375","24169","26146","27533","27501","27371",
"Yecheon-gun","Detached dwelling[Housing]","Housing","16040","16437","16535","16476","16363","16326","16198",
"Yecheon-gun","Apartment[Housing]","Housing","2965","3778","6409","8406","9906","9906","9906",
"Yecheon-gun","Row house[Housing]","Housing","339","355","355","377","377","377","377",
"Yecheon-gun","Apartment unit ina private house[Housing]","Housing","544","567","588","603","603","603","602",
"Yecheon-gun","House within commercial building[Housing]","Housing","258","238","282","284","284","289","288",
"Yecheon-gun","Living quaters other than housing unit[Housing]","Housing","441","440","466","504","548","594","674",
"Bonghwa-gun","Total population[Person]","Person","31628","31262","31082","30872","30308","29945","29168",
"Bonghwa-gun","Male[Person]","Person","15563","15391","15350","15297","15056","14870","14479",
"Bonghwa-gun","Female[Person]","Person","16065","15871","15732","15575","15252","15075","14689",
"Bonghwa-gun","Korean - total[Person]","Person","31307","30920","30722","30434","29830","29471","28701",
"Bonghwa-gun","Korean - male[Person]","Person","15442","15267","15217","15142","14890","14719","14327",
"Bonghwa-gun","Korean - Female[Person]","Person","15865","15653","15505","15292","14940","14752","14374",
"Bonghwa-gun","Foreigner-Total[Person]","Person","321","342","360","438","478","474","467",
"Bonghwa-gun","Foreigner-Male[Person]","Person","121","124","133","155","166","151","152",
"Bonghwa-gun","Foreigner-Female[Person]","Person","200","218","227","283","312","323","315",
"Bonghwa-gun","Household-Total[households]","households","13972","14115","14144","14141","14092","14189","14282",
"Bonghwa-gun","Type of occupancy[households]","households","13880","14034","14052","14044","13992","14092","14186",
"Bonghwa-gun","Institutional households[households]","households","22","13","17","18","18","19","18",
"Bonghwa-gun","Foreigner household[households]","households","70","68","75","79","82","78","78",
"Bonghwa-gun","Housing units-Total[Housing]","Housing","15321","15035","15313","15276","15187","15270","15202",
"Bonghwa-gun","Detached dwelling[Housing]","Housing","12321","11997","12305","12275","12190","12242","12174",
"Bonghwa-gun","Apartment[Housing]","Housing","1673","1673","1587","1601","1596","1587","1587",
"Bonghwa-gun","Row house[Housing]","Housing","775","810","834","807","793","835","835",
"Bonghwa-gun","Apartment unit ina private house[Housing]","Housing","379","395","395","403","420","418","414",
"Bonghwa-gun","House within commercial building[Housing]","Housing","173","160","192","190","188","188","192",
"Bonghwa-gun","Living quaters other than housing unit[Housing]","Housing","344","349","380","414","416","463","482",
"Uljin-gun","Total population[Person]","Person","49387","49043","48504","48057","47651","47151","46369",
"Uljin-gun","Male[Person]","Person","25085","25054","24852","24778","24745","24395","24041",
"Uljin-gun","Female[Person]","Person","24302","23989","23652","23279","22906","22756","22328",
"Uljin-gun","Korean - total[Person]","Person","48042","47657","46961","46196","45565","45311","44540",
"Uljin-gun","Korean - male[Person]","Person","23961","23898","23542","23184","22951","22826","22482",
"Uljin-gun","Korean - Female[Person]","Person","24081","23759","23419","23012","22614","22485","22058",
"Uljin-gun","Foreigner-Total[Person]","Person","1345","1386","1543","1861","2086","1840","1829",
"Uljin-gun","Foreigner-Male[Person]","Person","1124","1156","1310","1594","1794","1569","1559",
"Uljin-gun","Foreigner-Female[Person]","Person","221","230","233","267","292","271","270",
"Uljin-gun","Household-Total[households]","households","21767","21872","21826","21707","21632","22006","22203",
"Uljin-gun","Type of occupancy[households]","households","21466","21569","21518","21409","21332","21707","21876",
"Uljin-gun","Institutional households[households]","households","24","19","24","26","26","22","23",
"Uljin-gun","Foreigner household[households]","households","277","284","284","272","274","277","304",
"Uljin-gun","Housing units-Total[Housing]","Housing","22867","23196","23535","23736","23776","24069","24279",
"Uljin-gun","Detached dwelling[Housing]","Housing","14896","14740","14771","14776","14711","14720","14729",
"Uljin-gun","Apartment[Housing]","Housing","4740","5031","5208","5393","5420","5594","5869",
"Uljin-gun","Row house[Housing]","Housing","1956","1956","2032","2034","2069","2093","1978",
"Uljin-gun","Apartment unit ina private house[Housing]","Housing","886","1070","1095","1095","1126","1201","1224",
"Uljin-gun","House within commercial building[Housing]","Housing","389","399","429","438","450","461","479",
"Uljin-gun","Living quaters other than housing unit[Housing]","Housing","568","576","628","646","649","646","654",
"Ulleung-gun","Total population[Person]","Person","8770","8490","8702","8729","8704","8444","8169",
"Ulleung-gun","Male[Person]","Person","4720","4661","4824","4837","4848","4683","4513",
"Ulleung-gun","Female[Person]","Person","4050","3829","3878","3892","3856","3761","3656",
"Ulleung-gun","Korean - total[Person]","Person","8612","8300","8493","8469","8430","8197","7940",
"Ulleung-gun","Korean - male[Person]","Person","4605","4515","4663","4627","4626","4489","4333",
"Ulleung-gun","Korean - Female[Person]","Person","4007","3785","3830","3842","3804","3708","3607",
"Ulleung-gun","Foreigner-Total[Person]","Person","158","190","209","260","274","247","229",
"Ulleung-gun","Foreigner-Male[Person]","Person","115","146","161","210","222","194","180",
"Ulleung-gun","Foreigner-Female[Person]","Person","43","44","48","50","52","53","49",
"Ulleung-gun","Household-Total[households]","households","4104","4058","4158","4239","4146","4199","4208",
"Ulleung-gun","Type of occupancy[households]","households","4031","3979","4072","4145","4061","4116","4135",
"Ulleung-gun","Institutional households[households]","households","9","7","9","8","7","6","X",
"Ulleung-gun","Foreigner household[households]","households","64","72","77","86","78","77","69",
"Ulleung-gun","Housing units-Total[Housing]","Housing","3073","2964","3044","2996","3050","3065","3025",
"Ulleung-gun","Detached dwelling[Housing]","Housing","2571","2468","2468","2384","2399","2415","2358",
"Ulleung-gun","Apartment[Housing]","Housing","110","110","110","110","182","182","182",
"Ulleung-gun","Row house[Housing]","Housing","149","149","163","200","187","187","200",
"Ulleung-gun","Apartment unit ina private house[Housing]","Housing","87","87","128","123","107","107","105",
"Ulleung-gun","House within commercial building[Housing]","Housing","156","150","175","179","175","174","180",
"Ulleung-gun","Living quaters other than housing unit[Housing]","Housing","215","266","299","312","309","297","310",
"Gyeongsangnam-do","Total population[Person]","Person","3334524","3339633","3345293","3350350","3347209","3333056","3305931",
"Gyeongsangnam-do","Male[Person]","Person","1698737","1701849","1702150","1703904","1703892","1692212","1676753",
"Gyeongsangnam-do","Female[Person]","Person","1635787","1637784","1643143","1646446","1643317","1640844","1629178",
"Gyeongsangnam-do","Korean - total[Person]","Person","3244163","3247448","3254221","3252856","3241301","3236387","3214095",
"Gyeongsangnam-do","Korean - male[Person]","Person","1634407","1636954","1639600","1637986","1632680","1629100","1617823",
"Gyeongsangnam-do","Korean - Female[Person]","Person","1609756","1610494","1614621","1614870","1608621","1607287","1596272",
"Gyeongsangnam-do","Foreigner-Total[Person]","Person","90361","92185","91072","97494","105908","96669","91836",
"Gyeongsangnam-do","Foreigner-Male[Person]","Person","64330","64895","62550","65918","71212","63112","58930",
"Gyeongsangnam-do","Foreigner-Female[Person]","Person","26031","27290","28522","31576","34696","33557","32906",
"Gyeongsangnam-do","Household-Total[households]","households","1282617","1299027","1318106","1331278","1347182","1376240","1405646",
"Gyeongsangnam-do","Type of occupancy[households]","households","1258487","1273523","1292998","1306394","1321213","1350155","1378982",
"Gyeongsangnam-do","Institutional households[households]","households","1176","945","1113","1168","1186","1126","1098",
"Gyeongsangnam-do","Foreigner household[households]","households","22954","24559","23995","23716","24783","24959","25566",
"Gyeongsangnam-do","Housing units-Total[Housing]","Housing","1134738","1151057","1193912","1226708","1266739","1296944","1306263",
"Gyeongsangnam-do","Detached dwelling[Housing]","Housing","416364","418406","419772","419628","418312","417534","416963",
"Gyeongsangnam-do","Apartment[Housing]","Housing","641589","654679","694326","726589","767442","797850","807613",
"Gyeongsangnam-do","Row house[Housing]","Housing","24944","25523","26357","26507","26476","26697","26740",
"Gyeongsangnam-do","Apartment unit ina private house[Housing]","Housing","35701","36326","36719","37097","37378","37542","37421",
"Gyeongsangnam-do","House within commercial building[Housing]","Housing","16140","16123","16738","16887","17131","17321","17526",
"Gyeongsangnam-do","Living quaters other than housing unit[Housing]","Housing","36605","39819","41819","43041","43193","45805","48637",
"Total for eups","Total population[Person]","Person","458732","474414","493742","506847","509697","506242","501128",
"Total for eups","Male[Person]","Person","230993","238842","248558","255243","256954","254596","251800",
