"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Gyeongsangbuk-do","5-9 Years old","Sex ratio","","108.28","108.88","108.34","108.03","107.63","105.78","107.21","119.72","120.53","111.76","111",
"Gyeongsangbuk-do","10-14 Years old","Population[Person]","Person","456455","562206","652333","657483","604437","345964","262410","215254","170618","172429","158166",
"Gyeongsangbuk-do","10-14 Years old","Male[Person]","Person","241254","291911","339746","342367","312221","176006","132720","110367","92609","93841","83447",
"Gyeongsangbuk-do","10-14 Years old","Female[Person]","Person","215201","270295","312587","315116","292216","169958","129690","104887","78009","78588","74719",
"Gyeongsangbuk-do","10-14 Years old","Sex ratio","","112.11","108","108.69","108.65","106.85","103.56","102.34","105.22","118.72","119.41","111.7",
"Gyeongsangbuk-do","15-19 Years old","Population[Person]","Person","358690","428299","451400","580190","583713","296731","294516","234403","219532","171437","176765",
"Gyeongsangbuk-do","15-19 Years old","Male[Person]","Person","189240","223420","231701","301018","301796","157258","150111","119100","113791","92195","97020",
"Gyeongsangbuk-do","15-19 Years old","Female[Person]","Person","169450","204879","219699","279172","281917","139473","144405","115303","105741","79242","79745",
"Gyeongsangbuk-do","15-19 Years old","Sex ratio","","111.68","109.05","105.46","107.83","107.05","112.75","103.95","103.29","107.61","116.35","121.7",
"Gyeongsangbuk-do","20-24 Years old","Population[Person]","Person","357173","339616","350721","434142","524478","278147","263662","232909","211709","184200","151822",
"Gyeongsangbuk-do","20-24 Years old","Male[Person]","Person","184588","178577","183228","229155","273951","163433","150818","129103","117008","102481","86895",
"Gyeongsangbuk-do","20-24 Years old","Female[Person]","Person","172585","161039","167493","204987","250527","114714","112844","103806","94701","81719","64927",
"Gyeongsangbuk-do","20-24 Years old","Sex ratio","","106.95","110.89","109.39","111.79","109.35","142.47","133.65","124.37","123.56","125.41","133.8",
"Gyeongsangbuk-do","25-29 Years old","Population[Person]","Person","284399","331281","286338","325577","383045","239193","233445","208343","207011","169944","159212",
"Gyeongsangbuk-do","25-29 Years old","Male[Person]","Person","138964","164105","140414","167800","193091","120171","118428","106840","106059","90520","85347",
"Gyeongsangbuk-do","25-29 Years old","Female[Person]","Person","145435","167176","145924","157777","189954","119022","115017","101503","100952","79424","73865",
"Gyeongsangbuk-do","25-29 Years old","Sex ratio","","95.55","98.16","96.22","106.35","101.65","100.97","102.97","105.26","105.06","113.97","115.5",
"Gyeongsangbuk-do","30-34 Years old","Population[Person]","Person","226243","287102","297569","284932","307498","199807","232242","218650","214485","192330","167811",
"Gyeongsangbuk-do","30-34 Years old","Male[Person]","Person","103317","141273","146286","141917","158322","100827","117658","111238","109858","97324","87030",
"Gyeongsangbuk-do","30-34 Years old","Female[Person]","Person","122926","145829","151283","143015","149176","98980","114584","107412","104627","95006","80781",
"Gyeongsangbuk-do","30-34 Years old","Sex ratio","","84.05","96.88","96.7","99.23","106.13","101.87","102.68","103.56","105","102.44","107.7",
"Gyeongsangbuk-do","35-39 Years old","Population[Person]","Person","208474","227367","262433","297377","275598","179749","189275","217187","220975","202798","190804",
"Gyeongsangbuk-do","35-39 Years old","Male[Person]","Person","100016","104618","126226","147139","136472","93045","96915","111061","113666","103469","97307",
"Gyeongsangbuk-do","35-39 Years old","Female[Person]","Person","108458","122749","136207","150238","139126","86704","92360","106126","107309","99329","93497",
"Gyeongsangbuk-do","35-39 Years old","Sex ratio","","92.22","85.23","92.67","97.94","98.09","107.31","104.93","104.65","105.92","104.17","104.1",
"Gyeongsangbuk-do","40-44 Years old","Population[Person]","Person","183613","202653","210721","254331","283472","153811","154745","171369","210680","206069","200609",
"Gyeongsangbuk-do","40-44 Years old","Male[Person]","Person","90562","98044","97087","122719","139909","74855","80417","87599","108181","105667","103179",
"Gyeongsangbuk-do","40-44 Years old","Female[Person]","Person","93051","104609","113634","131612","143563","78956","74328","83770","102499","100402","97430",
"Gyeongsangbuk-do","40-44 Years old","Sex ratio","","97.33","93.72","85.44","93.24","97.45","94.81","108.19","104.57","105.54","105.24","105.9",
"Gyeongsangbuk-do","45-49 Years old","Population[Person]","Person","164221","175552","190702","200594","246857","174722","146931","144048","169045","202910","206740",
"Gyeongsangbuk-do","45-49 Years old","Male[Person]","Person","81165","86504","92275","91565","118337","83780","70530","73525","84979","102450","105629",
"Gyeongsangbuk-do","45-49 Years old","Female[Person]","Person","83056","89048","98427","109029","128520","90942","76401","70523","84066","100460","101111",
"Gyeongsangbuk-do","45-49 Years old","Sex ratio","","97.72","97.14","93.75","83.98","92.08","92.12","92.32","104.26","101.09","101.98","104.5",
"Gyeongsangbuk-do","50-54 Years old","Population[Person]","Person","142052","156470","161954","176698","187735","157500","163798","135365","141831","164470","203823",
"Gyeongsangbuk-do","50-54 Years old","Male[Person]","Person","69566","76550","79748","84569","85267","73107","77278","63747","71448","81321","102221",
"Gyeongsangbuk-do","50-54 Years old","Female[Person]","Person","72486","79920","82206","92129","102468","84393","86520","71618","70383","83149","101602",
"Gyeongsangbuk-do","50-54 Years old","Sex ratio","","95.97","95.78","97.01","91.79","83.21","86.63","89.32","89.01","101.51","97.8","100.6",
"Gyeongsangbuk-do","55-59 Years old","Population[Person]","Person","104417","129420","139199","147961","163583","128740","147901","151182","132543","138880","165679",
"Gyeongsangbuk-do","55-59 Years old","Male[Person]","Person","49657","60897","66398","71166","76262","56846","67457","69524","60965","68477","80942",
"Gyeongsangbuk-do","55-59 Years old","Female[Person]","Person","54760","68523","72801","76795","87321","71894","80444","81658","71578","70403","84737",
"Gyeongsangbuk-do","55-59 Years old","Sex ratio","","90.68","88.87","91.2","92.67","87.34","79.07","83.86","85.14","85.17","97.26","95.5",
"Gyeongsangbuk-do","60-64 Years old","Population[Person]","Person","92590","87792","108347","118817","126946","106990","112425","131503","143822","128108","136430",
"Gyeongsangbuk-do","60-64 Years old","Male[Person]","Person","42505","39649","49276","54741","59133","48975","48369","58119","64240","57933","66396",
"Gyeongsangbuk-do","60-64 Years old","Female[Person]","Person","50085","48143","59071","64076","67813","58015","64056","73384","79582","70175","70034",
"Gyeongsangbuk-do","60-64 Years old","Sex ratio","","84.87","82.36","83.42","85.43","87.2","84.42","75.51","79.2","80.72","82.56","94.8",
"Gyeongsangbuk-do","65-69 Years old","Population[Person]","Person","61193","72645","67057","87434","98091","84730","92502","97044","122214","134355","124673",
"Gyeongsangbuk-do","65-69 Years old","Male[Person]","Person","27093","30955","28649","37261","42477","38537","40551","39629","51601","58013","54681",
"Gyeongsangbuk-do","65-69 Years old","Female[Person]","Person","34100","41690","38408","50173","55614","46193","51951","57415","70613","76342","69992",
"Gyeongsangbuk-do","65-69 Years old","Sex ratio","","79.45","74.25","74.59","74.27","76.38","83.43","78.06","69.02","73.08","75.99","78.1",
"Gyeongsangbuk-do","70-74 Years old","Population[Person]","Person","49314","40837","51969","49376","66688","59318","66013","73900","85430","108868","126234",
"Gyeongsangbuk-do","70-74 Years old","Male[Person]","Person","20391","16672","20741","19347","25944","24582","27810","30446","32678","43728","52370",
"Gyeongsangbuk-do","70-74 Years old","Female[Person]","Person","28923","24165","31228","30029","40744","34736","38203","43454","52752","65140","73864",
"Gyeongsangbuk-do","70-74 Years old","Sex ratio","","70.5","68.99","66.42","64.43","63.68","70.77","72.8","70.06","61.95","67.13","70.9",
"Gyeongsangbuk-do","75-79 Years old","Population[Person]","Person","22808","28991","26402","32475","33694","38007","42856","47511","57903","69519","94660",
"Gyeongsangbuk-do","75-79 Years old","Male[Person]","Person","9329","11070","9741","11523","11595","13695","15915","18067","21533","24886","35228",
"Gyeongsangbuk-do","75-79 Years old","Female[Person]","Person","13479","17921","16661","20952","22099","24312","26941","29444","36370","44633","59432",
"Gyeongsangbuk-do","75-79 Years old","Sex ratio","","69.21","61.77","58.47","55","52.47","56.33","59.07","61.36","59.21","55.76","59.3",
"Gyeongsangbuk-do","80-84 Years old","Population[Person]","Person","11606","9925","14370","13391","18069","15476","21868","25849","31135","39762","52621",
"Gyeongsangbuk-do","80-84 Years old","Male[Person]","Person","4562","3695","4897","4287","5230","4601","6698","8197","10319","13184","16699",
"Gyeongsangbuk-do","80-84 Years old","Female[Person]","Person","7044","6230","9473","9104","12839","10875","15170","17652","20816","26578","35922",
"Gyeongsangbuk-do","80-84 Years old","Sex ratio","","64.76","59.31","51.69","47.09","40.74","42.31","44.15","46.44","49.57","49.6","46.5",
"Gyeongsangbuk-do","85 Years old & over","Population[Person]","Person","3673","4106","4600","7045","7490","9442","9780","12884","17386","21916","32295",
"Gyeongsangbuk-do","85 Years old & over","Male[Person]","Person","1346","1445","1489","2014","1792","2301","2258","3123","4329","5939","8662",
"Gyeongsangbuk-do","85 Years old & over","Female[Person]","Person","2327","2661","3111","5031","5698","7141","7522","9761","13057","15977","23633",
"Gyeongsangbuk-do","85 Years old & over","Sex ratio","","57.84","54.3","47.86","40.03","31.45","32.22","30.02","31.99","33.15","37.17","36.7",
"Gyeongsangbuk-do","Age unknown","Population[Person]","Person","2167","11","","","1","16","1","29","244","0","",
"Gyeongsangbuk-do","Age unknown","Male[Person]","Person","1024","11","","","1","9","1","23","128","0","",
"Gyeongsangbuk-do","Age unknown","Female[Person]","Person","1143","","","","","7","0","6","116","0","",
"Gyeongsangbuk-do","Age unknown","Sex ratio","","89.59","","","","","128.57","0","383.33","110.34","0","",
"Gyeongsangbuk-do","14 and under","Population[Person]","Person","","","","","","","","570322","530273","459153","385192",
"Gyeongsangbuk-do","14 and under","Male[Person]","Person","","","","","","","","304418","286575","245086","201904",
"Gyeongsangbuk-do","14 and under","Female[Person]","Person","","","","","","","","265904","243698","214067","183288",
"Gyeongsangbuk-do","14 and under","Sex ratio","","","","","","","","","114.48","117.59","114.49","110.2",
"Gyeongsangbuk-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","1844959","1871633","1761146","1759695",
"Gyeongsangbuk-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","929856","950195","901837","911966",
"Gyeongsangbuk-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","915103","921438","859309","847729",
"Gyeongsangbuk-do","15 - 64 Years old","Sex ratio","","","","","","","","","101.61","103.12","104.95","107.6",
"Gyeongsangbuk-do","65 Years old","Population[Person]","Person","","","","","","","","257188","314068","374420","430483",
"Gyeongsangbuk-do","65 Years old","Male[Person]","Person","","","","","","","","99462","120460","145750","167640",
"Gyeongsangbuk-do","65 Years old","Female[Person]","Person","","","","","","","","157726","193608","228670","262843",
"Gyeongsangbuk-do","65 Years old","Sex ratio","","","","","","","","","63.06","62.22","63.74","63.8",
"Gyeongsangbuk-do","Mean age","Population[Person]","Person","","","","","","","","","35.9","38.52","41.1",
"Gyeongsangbuk-do","Mean age","Male[Person]","Person","","","","","","","","","34","36.54","39.1",
"Gyeongsangbuk-do","Mean age","Female[Person]","Person","","","","","","","","","37.8","40.49","43.1",
"Gyeongsangbuk-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Gyeongsangbuk-do","Median age","Population[Person]","Person","","","","","","","","","34.4","37.91","41.3",
"Gyeongsangbuk-do","Median age","Male[Person]","Person","","","","","","","","","32.5","35.9","39.3",
"Gyeongsangbuk-do","Median age","Female[Person]","Person","","","","","","","","","36.5","40.12","43.5",
"Gyeongsangbuk-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Gyeongsangnam-do","Total","Population[Person]","Person","4182042","3175146","3118634","3278718","3320546","3514500","3671509","3841553","2970929","3040993","3119571",
"Gyeongsangnam-do","Total","Male[Person]","Person","2088679","1594273","1556582","1641962","1661515","1763559","1841507","1932128","1484009","1521110","1562686",
"Gyeongsangnam-do","Total","Female[Person]","Person","2093363","1580873","1562052","1636756","1659031","1750941","1830002","1909425","1486920","1519883","1556885",
"Gyeongsangnam-do","Total","Sex ratio","","99.78","100.85","99.65","100.32","100.15","100.72","100.63","101.19","99.8","100.08","100.4",
"Gyeongsangnam-do","0-4 Years old","Population[Person]","Person","567150","486160","427467","393688","345696","346832","294923","320285","210662","161250","154821",
